date,high,low,open,close,volume
2019-09-18 16:00:00,301.1200,300.8800,300.9200,301.1000,2610142
2019-09-18 15:55:00,301.1150,300.7800,301.0700,300.9300,1530074
2019-09-18 15:50:00,301.2200,300.8700,301.1100,301.0750,1008201
2019-09-18 15:45:00,301.1100,300.7900,300.8371,301.1099,1331334
2019-09-18 15:40:00,300.8600,300.6800,300.8600,300.8300,1685182
2019-09-18 15:35:00,300.8300,300.0400,300.0800,300.8100,2018739
2019-09-18 15:30:00,300.0700,299.8600,299.8800,300.0100,927824
2019-09-18 15:25:00,299.9900,299.7300,299.8517,299.8800,2472039
2019-09-18 15:20:00,299.8800,299.4900,299.5600,299.8500,894520
2019-09-18 15:15:00,299.6800,299.4950,299.5200,299.5450,3096953
2019-09-18 15:10:00,299.4200,299.0400,299.0400,299.3900,1270452
2019-09-18 15:05:00,299.1360,298.9400,299.0700,299.0400,1907093
2019-09-18 15:00:00,299.2800,298.9900,299.1700,299.0700,1335248
2019-09-18 14:55:00,299.1700,298.7900,298.7900,299.1600,1801964
2019-09-18 14:50:00,299.1800,298.5000,298.9300,298.5700,4129627
2019-09-18 14:45:00,299.0300,298.5500,298.6200,298.9300,2720779
2019-09-18 14:40:00,298.8700,298.5380,298.7500,298.6500,2057417
2019-09-18 14:35:00,298.9700,298.4900,298.5600,298.9700,1622858
2019-09-18 14:30:00,298.8900,298.6700,298.8350,298.7800,722093
2019-09-18 14:25:00,298.9900,298.5700,298.5700,298.8350,1128360
2019-09-18 14:20:00,299.2000,298.5800,298.7700,298.8250,2086006
2019-09-18 14:15:00,299.7800,298.8400,299.7300,298.8400,2001689
2019-09-18 14:10:00,300.5200,299.7300,299.9900,299.7300,1786468
2019-09-18 14:05:00,300.4800,299.4280,300.4600,299.9400,4079514
2019-09-18 14:00:00,300.1900,300.1000,300.1000,300.1500,524310
2019-09-18 13:55:00,300.1700,299.9800,299.9850,300.1699,676436
2019-09-18 13:50:00,300.0000,299.9430,299.9900,299.9850,241690
2019-09-18 13:45:00,299.9950,299.8900,299.9200,299.9819,777321
2019-09-18 13:40:00,299.9350,299.6200,299.7600,299.9200,804637
2019-09-18 13:35:00,299.7700,299.6600,299.6800,299.7600,405050
2019-09-18 13:30:00,299.7800,299.6600,299.7600,299.6900,380724
2019-09-18 13:25:00,299.9000,299.8550,299.8641,299.8600,211505
2019-09-18 13:20:00,299.9200,299.8600,299.8800,299.8600,386025
2019-09-18 13:15:00,299.9100,299.8300,299.9000,299.8800,369238
2019-09-18 13:10:00,299.9250,299.8800,299.9000,299.9100,288877
2019-09-18 13:05:00,300.0200,299.8700,300.0100,299.9450,608403
2019-09-18 13:00:00,300.1000,300.0100,300.1000,300.0116,222448
2019-09-18 12:55:00,300.1600,300.0700,300.1350,300.0945,345666
2019-09-18 12:50:00,300.1550,300.1050,300.1400,300.1300,170179
2019-09-18 12:45:00,300.1500,300.1200,300.1500,300.1300,224486
2019-09-18 12:40:00,300.2180,300.1900,300.2100,300.1900,212333
2019-09-18 12:35:00,300.2200,300.1500,300.1550,300.2000,149147
2019-09-18 12:30:00,300.1500,300.1200,300.1250,300.1500,82847
2019-09-18 12:25:00,300.1600,300.0800,300.1000,300.1264,333733
2019-09-18 12:20:00,300.1300,300.0850,300.0950,300.1100,643356
2019-09-18 12:15:00,300.1700,300.0600,300.1700,300.0965,167978
2019-09-18 12:10:00,300.2000,300.1200,300.1350,300.1600,160825
2019-09-18 12:05:00,300.2200,300.1400,300.1900,300.1400,386772
2019-09-18 12:00:00,300.1300,300.0800,300.0900,300.1000,71533
2019-09-18 11:55:00,300.1000,300.0600,300.0850,300.0900,314244
2019-09-18 11:50:00,300.0900,300.0400,300.0600,300.0900,221587
2019-09-18 11:45:00,300.0700,300.0400,300.0650,300.0650,270583
2019-09-18 11:40:00,300.1000,300.0400,300.0900,300.0665,256848
2019-09-18 11:35:00,300.1600,300.0550,300.1400,300.0800,270659
2019-09-18 11:30:00,300.2000,300.1400,300.1750,300.1400,326383
2019-09-18 11:25:00,300.2600,300.1508,300.2050,300.1800,152042
2019-09-18 11:20:00,300.2300,300.1100,300.1600,300.2056,324630
2019-09-18 11:15:00,300.2300,300.1600,300.1950,300.1650,232216
2019-09-18 11:10:00,300.2000,300.1300,300.1850,300.1650,591787
2019-09-18 11:05:00,300.2900,300.1900,300.2700,300.1900,236911
2019-09-18 11:00:00,300.3500,300.2100,300.2200,300.2800,563008
2019-09-18 10:55:00,300.3100,300.2000,300.3016,300.2300,274145
2019-09-18 10:50:00,300.4550,300.2900,300.4100,300.3016,244053
2019-09-18 10:45:00,300.4800,300.4100,300.4200,300.4200,250434
2019-09-18 10:40:00,300.5400,300.4200,300.4500,300.4200,406637
2019-09-18 10:35:00,300.4900,300.4200,300.4250,300.4400,527961
2019-09-18 10:30:00,300.5100,300.4000,300.4000,300.5100,341238
2019-09-18 10:25:00,300.4100,300.3100,300.3500,300.4100,143005
2019-09-18 10:20:00,300.4000,300.2800,300.3900,300.3500,725249
2019-09-18 10:15:00,300.3000,300.2300,300.3000,300.2800,499992
2019-09-18 10:10:00,300.2983,300.1200,300.1600,300.2983,318947
2019-09-18 10:05:00,300.1650,300.1100,300.1200,300.1650,549916
2019-09-18 10:00:00,300.2200,300.0400,300.0700,300.1600,792083
2019-09-18 09:55:00,300.0900,299.9700,300.0750,300.0630,390197
2019-09-18 09:50:00,300.1300,300.0300,300.0600,300.0700,524295
2019-09-18 09:45:00,300.2400,300.1000,300.2400,300.1300,540847
2019-09-18 09:40:00,300.2400,299.9800,300.1400,300.2400,1165500
2019-09-18 09:35:00,300.5800,300.0900,300.4900,300.1500,2074107
2019-09-17 16:00:00,300.9700,300.9050,300.9500,300.9400,1960970
2019-09-17 15:55:00,300.9698,300.8100,300.9300,300.9500,1266607
2019-09-17 15:50:00,300.9700,300.8400,300.8800,300.9250,781615
2019-09-17 15:45:00,300.8900,300.7500,300.7900,300.8900,649185
2019-09-17 15:40:00,300.8150,300.5600,300.5850,300.7900,666048
2019-09-17 15:35:00,300.6200,300.4100,300.4350,300.5900,790866
2019-09-17 15:30:00,300.4500,300.2400,300.2500,300.4400,432473
2019-09-17 15:25:00,300.3000,300.1600,300.1899,300.2400,890642
2019-09-17 15:20:00,300.2700,300.1600,300.2200,300.1800,615401
2019-09-17 15:15:00,300.3200,300.2100,300.3000,300.2200,137815
2019-09-17 15:10:00,300.3500,300.2200,300.2230,300.2923,305917
2019-09-17 15:05:00,300.3400,300.2200,300.2900,300.2200,363923
2019-09-17 15:00:00,300.3300,300.2600,300.3300,300.2900,200714
2019-09-17 14:55:00,300.3450,300.3200,300.3400,300.3300,598999
2019-09-17 14:50:00,300.3600,300.3100,300.3150,300.3500,180552
2019-09-17 14:45:00,300.3500,300.2100,300.2200,300.3200,272853
2019-09-17 14:40:00,300.2800,300.1802,300.2500,300.2150,184746
2019-09-17 14:35:00,300.2600,300.1900,300.1950,300.2350,290685
2019-09-17 14:30:00,300.2100,300.1300,300.1574,300.2000,774271
2019-09-17 14:25:00,300.2500,300.1200,300.2400,300.1500,161649
2019-09-17 14:20:00,300.2750,300.2300,300.2300,300.2300,171135
2019-09-17 14:15:00,300.3850,300.1900,300.3200,300.2400,572704
2019-09-17 14:10:00,300.4950,300.1800,300.4650,300.3200,596865
2019-09-17 14:05:00,300.5600,300.2800,300.2800,300.4700,759476
2019-09-17 14:00:00,300.2900,300.2300,300.2500,300.2900,1006427
2019-09-17 13:55:00,300.3200,300.2200,300.2300,300.2400,335183
2019-09-17 13:50:00,300.2700,300.1750,300.1900,300.2300,263717
2019-09-17 13:45:00,300.2300,300.0900,300.1400,300.1900,130186
2019-09-17 13:40:00,300.1600,300.1300,300.1350,300.1500,114504
2019-09-17 13:35:00,300.1700,300.0800,300.0900,300.1400,107929
2019-09-17 13:30:00,300.2200,300.0800,300.2100,300.1000,198541
2019-09-17 13:25:00,300.2500,300.1900,300.2100,300.2100,218272
2019-09-17 13:20:00,300.2300,300.0700,300.0800,300.2002,160308
2019-09-17 13:15:00,300.1200,300.0300,300.0400,300.0900,95216
2019-09-17 13:10:00,300.0550,299.9700,299.9900,300.0300,161649
2019-09-17 13:05:00,300.0200,299.9600,300.0000,299.9997,269627
2019-09-17 13:00:00,300.0000,299.9650,300.0000,300.0000,439682
2019-09-17 12:55:00,300.0900,299.9600,300.0400,300.0000,209678
2019-09-17 12:50:00,300.0700,300.0200,300.0400,300.0399,84836
2019-09-17 12:45:00,300.1000,299.9600,299.9600,300.0400,247233
2019-09-17 12:40:00,300.1000,299.9300,300.0900,299.9600,468202
2019-09-17 12:35:00,300.1375,300.0500,300.1300,300.0800,581522
2019-09-17 12:30:00,300.1200,300.0300,300.0700,300.1200,190373
2019-09-17 12:25:00,300.1350,300.0400,300.1200,300.0800,188282
2019-09-17 12:20:00,300.1930,300.1250,300.1400,300.1250,298988
2019-09-17 12:15:00,300.2100,300.1400,300.1800,300.1400,400802
2019-09-17 12:10:00,300.4450,300.1500,300.3400,300.1800,313011
2019-09-17 12:05:00,300.3600,300.2800,300.2950,300.3300,382579
2019-09-17 12:00:00,300.3900,300.2500,300.3500,300.2900,196110
2019-09-17 11:55:00,300.3850,300.3200,300.3600,300.3500,191866
2019-09-17 11:50:00,300.4400,300.3800,300.3800,300.3800,398718
2019-09-17 11:45:00,300.4600,300.3600,300.4400,300.3950,171154
2019-09-17 11:40:00,300.4700,300.2600,300.2800,300.4400,202233
2019-09-17 11:35:00,300.3800,300.2550,300.2700,300.2900,278755
2019-09-17 11:30:00,300.5400,300.2300,300.5100,300.2700,418000
2019-09-17 11:25:00,300.5700,300.1400,300.1700,300.5100,457324
2019-09-17 11:20:00,300.4000,300.1300,300.2320,300.1750,637639
2019-09-17 11:15:00,300.3300,300.1600,300.3000,300.2350,709012
2019-09-17 11:10:00,300.3200,300.2400,300.2700,300.2900,322238
2019-09-17 11:05:00,300.3400,299.9700,299.9800,300.2600,358613
2019-09-17 11:00:00,300.1000,299.9700,300.0400,299.9700,345724
2019-09-17 10:55:00,300.1300,300.0400,300.0800,300.0400,251654
2019-09-17 10:50:00,300.2600,300.0800,300.1950,300.0850,595293
2019-09-17 10:45:00,300.3000,300.1900,300.2650,300.1900,187245
2019-09-17 10:40:00,300.3300,300.1600,300.3050,300.2700,291309
2019-09-17 10:35:00,300.3600,300.1600,300.1650,300.3100,510290
2019-09-17 10:30:00,300.2500,300.0100,300.0200,300.1700,413697
2019-09-17 10:25:00,300.1400,299.9950,300.1100,300.0100,553389
2019-09-17 10:20:00,300.2200,300.0100,300.0100,300.1100,343385
2019-09-17 10:15:00,300.0200,299.8550,299.9700,300.0100,558798
2019-09-17 10:10:00,300.0400,299.9000,300.0100,299.9600,457782
2019-09-17 10:05:00,300.2300,299.9600,300.1550,300.0100,556876
2019-09-17 10:00:00,300.3200,299.9600,300.0300,300.1500,573213
2019-09-17 09:55:00,300.2200,299.8700,300.1600,300.0300,590250
2019-09-17 09:50:00,300.1900,299.8700,299.9600,300.1666,1047881
2019-09-17 09:45:00,300.3900,299.8700,300.1900,299.9600,1053968
2019-09-17 09:40:00,300.2000,299.7900,300.0000,300.2000,1028061
2019-09-17 09:35:00,300.2300,299.7500,299.9400,300.0100,1204308
2019-09-16 16:00:00,300.2250,300.0950,300.1100,300.1600,2259665
2019-09-16 15:55:00,300.1800,299.9800,300.0300,300.1000,1986789
2019-09-16 15:50:00,300.2500,300.0200,300.1000,300.0200,685474
2019-09-16 15:45:00,300.1500,299.9900,300.1100,300.1000,740978
2019-09-16 15:40:00,300.2300,300.0400,300.1450,300.1100,468570
2019-09-16 15:35:00,300.1490,300.0400,300.0800,300.1450,449303
2019-09-16 15:30:00,300.2300,300.0200,300.1450,300.0789,604384
2019-09-16 15:25:00,300.3000,300.0700,300.2700,300.1500,1260642
2019-09-16 15:20:00,300.4000,300.2300,300.3900,300.2800,430658
2019-09-16 15:15:00,300.4300,300.0900,300.0900,300.3800,480989
2019-09-16 15:10:00,300.2150,300.0400,300.2000,300.0900,1346036
2019-09-16 15:05:00,300.3300,300.1850,300.2400,300.1950,455805
2019-09-16 15:00:00,300.2500,300.2100,300.2400,300.2400,255501
2019-09-16 14:55:00,300.2600,300.2100,300.2236,300.2500,315170
2019-09-16 14:50:00,300.2200,300.1100,300.1300,300.2150,439528
2019-09-16 14:45:00,300.2500,300.0900,300.1150,300.1300,315584
2019-09-16 14:40:00,300.1900,300.0950,300.1700,300.1100,212653
2019-09-16 14:35:00,300.2900,300.1400,300.2800,300.1850,946673
2019-09-16 14:30:00,300.3250,300.1800,300.2050,300.2800,421476
2019-09-16 14:25:00,300.2050,300.1700,300.1850,300.2050,804132
2019-09-16 14:20:00,300.2000,300.0350,300.0500,300.1890,401532
2019-09-16 14:15:00,300.1600,300.0300,300.0800,300.0600,855663
2019-09-16 14:10:00,300.2516,300.0400,300.2500,300.0700,455997
2019-09-16 14:05:00,300.3700,300.2500,300.2600,300.2500,396496
2019-09-16 14:00:00,300.2800,300.1800,300.1900,300.2600,364968
2019-09-16 13:55:00,300.2600,300.0000,300.0900,300.1950,457937
2019-09-16 13:50:00,300.1194,300.0100,300.0800,300.0832,363736
2019-09-16 13:45:00,300.1600,300.0500,300.0600,300.0850,337275
2019-09-16 13:40:00,300.1000,300.0050,300.0550,300.0500,532648
2019-09-16 13:35:00,300.1600,300.0550,300.0800,300.0600,315117
2019-09-16 13:30:00,300.1500,300.0500,300.0800,300.0900,389465
2019-09-16 13:25:00,300.1400,300.0600,300.0900,300.0900,544762
2019-09-16 13:20:00,300.1450,300.0200,300.0450,300.1000,440498
2019-09-16 13:15:00,300.0600,300.0300,300.0436,300.0600,252425
2019-09-16 13:10:00,300.0500,299.9300,299.9800,300.0450,652289
2019-09-16 13:05:00,299.9600,299.8550,299.8950,299.9600,280419
2019-09-16 13:00:00,299.9800,299.8400,299.9400,299.8900,271794
2019-09-16 12:55:00,300.0200,299.8350,299.8350,299.9434,588423
2019-09-16 12:50:00,299.8400,299.6300,299.6550,299.8400,484212
2019-09-16 12:45:00,299.8700,299.6330,299.8550,299.6500,606508
2019-09-16 12:40:00,299.8700,299.7150,299.7850,299.8700,739588
2019-09-16 12:35:00,299.9500,299.7800,299.8200,299.8000,3112762
2019-09-16 12:30:00,299.8100,299.6800,299.6900,299.8100,533358
2019-09-16 12:25:00,299.7050,299.6500,299.7025,299.6900,234432
2019-09-16 12:20:00,299.7900,299.6700,299.7700,299.7100,163421
2019-09-16 12:15:00,299.8150,299.7300,299.7411,299.7737,613383
2019-09-16 12:10:00,299.7450,299.6550,299.7000,299.7450,408549
2019-09-16 12:05:00,299.7600,299.4800,299.5300,299.7100,684848
2019-09-16 12:00:00,299.9100,299.4700,299.8700,299.5300,824422
2019-09-16 11:55:00,299.8900,299.6500,299.7700,299.8751,447111
2019-09-16 11:50:00,299.9700,299.7500,299.9400,299.7800,515788
2019-09-16 11:45:00,300.0800,299.8950,300.0800,299.9400,810647
2019-09-16 11:40:00,300.2000,300.0200,300.0600,300.1000,529617
2019-09-16 11:35:00,300.4000,300.0400,300.3500,300.0600,280107
2019-09-16 11:30:00,300.5400,300.2700,300.3300,300.3600,335139
2019-09-16 11:25:00,300.4100,300.2300,300.3700,300.3216,166987
2019-09-16 11:20:00,300.5500,300.3400,300.4300,300.3700,349829
2019-09-16 11:15:00,300.4900,300.4100,300.4600,300.4300,588984
2019-09-16 11:10:00,300.5200,300.0400,300.0600,300.4600,516168
2019-09-16 11:05:00,300.0550,299.9650,300.0250,300.0550,807593
2019-09-16 11:00:00,300.1700,299.8100,299.8300,300.0000,529575
2019-09-16 10:55:00,300.2000,299.8100,299.9700,299.8400,329024
2019-09-16 10:50:00,300.1500,299.9600,300.0700,299.9600,398329
2019-09-16 10:45:00,300.2200,299.9400,300.0500,300.0600,511853
2019-09-16 10:40:00,300.1100,299.9400,300.0700,300.0450,323346
2019-09-16 10:35:00,300.1300,299.9850,300.1000,300.0699,558608
2019-09-16 10:30:00,300.5000,300.0700,300.4600,300.0900,436011
2019-09-16 10:25:00,300.5000,300.3000,300.3300,300.4700,320484
2019-09-16 10:20:00,300.5200,300.2500,300.3000,300.3300,286223
2019-09-16 10:15:00,300.5200,300.2600,300.3900,300.3200,514299
2019-09-16 10:10:00,300.5700,300.3900,300.4600,300.3900,578012
2019-09-16 10:05:00,300.5300,300.3600,300.5000,300.4600,691806
2019-09-16 10:00:00,300.5400,300.3900,300.4600,300.5100,493869
2019-09-16 09:55:00,300.5600,300.0800,300.0900,300.4500,563237
2019-09-16 09:50:00,300.2800,300.0100,300.2400,300.0900,668990
2019-09-16 09:45:00,300.3600,299.8700,300.0500,300.2400,1272575
2019-09-16 09:40:00,300.3100,299.9200,300.0900,300.0207,1231676
2019-09-16 09:35:00,300.1800,299.7400,299.8400,300.0907,0
2019-09-13 16:00:00,301.3900,301.0000,301.1700,301.0500,3334721
2019-09-13 15:55:00,301.2550,301.1650,301.2500,301.1650,1835724
2019-09-13 15:50:00,301.2650,301.1200,301.1900,301.2600,1054644
2019-09-13 15:45:00,301.1800,301.0200,301.0500,301.1800,1326503
2019-09-13 15:40:00,301.1600,301.0300,301.0318,301.0500,626674
2019-09-13 15:35:00,301.0500,300.9400,300.9800,301.0350,486628
2019-09-13 15:30:00,300.9900,300.9230,300.9303,300.9863,399587
2019-09-13 15:25:00,300.9400,300.7200,300.7700,300.9363,608026
2019-09-13 15:20:00,300.8400,300.6800,300.8200,300.7700,575233
2019-09-13 15:15:00,300.9400,300.7501,300.8000,300.8300,525105
2019-09-13 15:10:00,301.0600,300.7900,301.0300,300.8150,471169
2019-09-13 15:05:00,301.2500,300.9800,301.2400,301.0300,403120
2019-09-13 15:00:00,301.3000,301.1950,301.2100,301.2300,349155
2019-09-13 14:55:00,301.3000,301.1400,301.1500,301.2100,190349
2019-09-13 14:50:00,301.3100,301.1200,301.3100,301.1500,116234
2019-09-13 14:45:00,301.3600,301.2100,301.2400,301.3200,266519
2019-09-13 14:40:00,301.2900,301.2300,301.2800,301.2450,202318
2019-09-13 14:35:00,301.3250,301.1999,301.2200,301.3000,249640
2019-09-13 14:30:00,301.2365,301.0800,301.2250,301.2100,517952
2019-09-13 14:25:00,301.2400,301.0500,301.1100,301.2300,450069
2019-09-13 14:20:00,301.2600,301.0600,301.2400,301.1200,364671
2019-09-13 14:15:00,301.3800,301.2100,301.3650,301.2400,758800
2019-09-13 14:10:00,301.4000,301.2500,301.2600,301.3700,280688
2019-09-13 14:05:00,301.3000,301.1300,301.1436,301.2565,686499
2019-09-13 14:00:00,301.4800,301.1400,301.4500,301.1400,480436
2019-09-13 13:55:00,301.4700,301.3400,301.3450,301.4600,991787
2019-09-13 13:50:00,301.3400,301.0800,301.1100,301.3400,1665468
2019-09-13 13:45:00,301.3400,301.0200,301.3350,301.1200,810521
2019-09-13 13:40:00,301.4400,301.3000,301.4100,301.3300,435093
2019-09-13 13:35:00,301.4800,301.4000,301.4700,301.4000,273067
2019-09-13 13:30:00,301.4800,301.4300,301.4500,301.4700,141563
2019-09-13 13:25:00,301.5500,301.4500,301.5500,301.4500,171116
2019-09-13 13:20:00,301.6100,301.5200,301.5400,301.5500,240524
2019-09-13 13:15:00,301.5480,301.4600,301.4800,301.5331,333897
2019-09-13 13:10:00,301.5000,301.3200,301.3300,301.4800,610037
2019-09-13 13:05:00,301.4100,301.3250,301.3900,301.3300,730360
2019-09-13 13:00:00,301.4650,301.3900,301.4400,301.4000,162022
2019-09-13 12:55:00,301.4800,301.3150,301.3400,301.4300,386312
2019-09-13 12:50:00,301.4450,301.3000,301.4400,301.3400,330019
2019-09-13 12:45:00,301.4900,301.3700,301.4800,301.4300,212051
2019-09-13 12:40:00,301.5500,301.4400,301.4400,301.4900,472683
2019-09-13 12:35:00,301.4380,301.3350,301.3900,301.4378,243482
2019-09-13 12:30:00,301.4850,301.3600,301.4700,301.3900,857819
2019-09-13 12:25:00,301.7150,301.4200,301.7100,301.4700,457703
